Epoch: [0][1160/9537], lr: 0.01000	Time 0.231 (0.236)	Data 0.000 (0.003)	Loss 4.9005 (5.6327)	Prec@1 0.000 (1.034)	Prec@5 0.000 (5.168)
Epoch: [0][1180/9537], lr: 0.01000	Time 0.230 (0.236)	Data 0.000 (0.003)	Loss 6.1254 (5.6187)	Prec@1 0.000 (1.101)	Prec@5 0.000 (5.165)
Epoch: [0][1200/9537], lr: 0.01000	Time 0.233 (0.236)	Data 0.000 (0.003)	Loss 5.1626 (5.6045)	Prec@1 0.000 (1.082)	Prec@5 0.000 (5.162)
Epoch: [0][1220/9537], lr: 0.01000	Time 0.231 (0.235)	Data 0.000 (0.003)	Loss 5.7211 (5.5946)	Prec@1 0.000 (1.065)	Prec@5 0.000 (5.078)
Epoch: [0][1240/9537], lr: 0.01000	Time 0.231 (0.235)	Data 0.000 (0.003)	Loss 5.7212 (5.5841)	Prec@1 0.000 (1.128)	Prec@5 0.000 (5.157)
Epoch: [0][1260/9537], lr: 0.01000	Time 0.233 (0.235)	Data 0.000 (0.003)	Loss 5.6955 (5.5725)	Prec@1 0.000 (1.110)	Prec@5 0.000 (5.234)
Epoch: [0][1280/9537], lr: 0.01000	Time 0.232 (0.235)	Data 0.000 (0.003)	Loss 4.1517 (5.5597)	Prec@1 0.000 (1.093)	Prec@5 0.000 (5.308)
Epoch: [0][1300/9537], lr: 0.01000	Time 0.231 (0.235)	Data 0.000 (0.003)	Loss 5.8507 (5.5512)	Prec@1 0.000 (1.076)	Prec@5 0.000 (5.227)
Epoch: [0][1320/9537], lr: 0.01000	Time 0.232 (0.235)	Data 0.000 (0.003)	Loss 2.9539 (5.5349)	Prec@1 100.000 (1.136)	Prec@5 100.000 (5.375)
Epoch: [0][1340/9537], lr: 0.01000	Time 0.230 (0.235)	Data 0.000 (0.002)	Loss 4.4097 (5.5232)	Prec@1 0.000 (1.119)	Prec@5 0.000 (5.444)
Epoch: [0][1360/9537], lr: 0.01000	Time 0.231 (0.235)	Data 0.000 (0.002)	Loss 4.6002 (5.5121)	Prec@1 0.000 (1.102)	Prec@5 0.000 (5.437)
Epoch: [0][1380/9537], lr: 0.01000	Time 0.231 (0.235)	Data 0.000 (0.002)	Loss 4.3613 (5.5055)	Prec@1 0.000 (1.086)	Prec@5 0.000 (5.358)
Epoch: [0][1400/9537], lr: 0.01000	Time 0.232 (0.235)	Data 0.000 (0.002)	Loss 3.7515 (5.4976)	Prec@1 0.000 (1.071)	Prec@5 100.000 (5.353)
Epoch: [0][1420/9537], lr: 0.01000	Time 0.230 (0.235)	Data 0.000 (0.002)	Loss 3.2297 (5.4871)	Prec@1 100.000 (1.126)	Prec@5 100.000 (5.348)
Epoch: [0][1440/9537], lr: 0.01000	Time 0.232 (0.235)	Data 0.000 (0.002)	Loss 2.6064 (5.4735)	Prec@1 0.000 (1.180)	Prec@5 100.000 (5.552)
Epoch: [0][1460/9537], lr: 0.01000	Time 0.232 (0.235)	Data 0.000 (0.002)	Loss 4.4271 (5.4659)	Prec@1 0.000 (1.164)	Prec@5 0.000 (5.613)
Epoch: [0][1480/9537], lr: 0.01000	Time 0.231 (0.235)	Data 0.000 (0.002)	Loss 5.3313 (5.4572)	Prec@1 0.000 (1.148)	Prec@5 0.000 (5.604)
Epoch: [0][1500/9537], lr: 0.01000	Time 0.232 (0.235)	Data 0.000 (0.002)	Loss 4.9650 (5.4484)	Prec@1 0.000 (1.133)	Prec@5 0.000 (5.596)
Epoch: [0][1520/9537], lr: 0.01000	Time 0.236 (0.235)	Data 0.000 (0.002)	Loss 5.0897 (5.4372)	Prec@1 0.000 (1.118)	Prec@5 0.000 (5.654)
Epoch: [0][1540/9537], lr: 0.01000	Time 0.232 (0.235)	Data 0.000 (0.002)	Loss 5.8581 (5.4301)	Prec@1 0.000 (1.168)	Prec@5 0.000 (5.646)
Epoch: [0][1560/9537], lr: 0.01000	Time 0.231 (0.235)	Data 0.000 (0.002)	Loss 4.3204 (5.4264)	Prec@1 0.000 (1.153)	Prec@5 0.000 (5.637)
Epoch: [0][1580/9537], lr: 0.01000	Time 0.233 (0.235)	Data 0.000 (0.002)	Loss 5.1354 (5.4192)	Prec@1 0.000 (1.139)	Prec@5 0.000 (5.566)
Epoch: [0][1600/9537], lr: 0.01000	Time 0.234 (0.234)	Data 0.000 (0.002)	Loss 5.3338 (5.4116)	Prec@1 0.000 (1.124)	Prec@5 0.000 (5.497)
Epoch: [0][1620/9537], lr: 0.01000	Time 0.234 (0.234)	Data 0.000 (0.002)	Loss 6.4631 (5.4052)	Prec@1 0.000 (1.110)	Prec@5 0.000 (5.429)
Epoch: [0][1640/9537], lr: 0.01000	Time 0.231 (0.234)	Data 0.000 (0.002)	Loss 5.0824 (5.3979)	Prec@1 0.000 (1.097)	Prec@5 0.000 (5.363)
Epoch: [0][1660/9537], lr: 0.01000	Time 0.232 (0.234)	Data 0.000 (0.002)	Loss 5.6470 (5.3913)	Prec@1 0.000 (1.084)	Prec@5 0.000 (5.298)
Epoch: [0][1680/9537], lr: 0.01000	Time 0.234 (0.234)	Data 0.000 (0.002)	Loss 5.1750 (5.3864)	Prec@1 0.000 (1.071)	Prec@5 0.000 (5.235)
Epoch: [0][1700/9537], lr: 0.01000	Time 0.228 (0.234)	Data 0.000 (0.002)	Loss 4.5616 (5.3807)	Prec@1 0.000 (1.058)	Prec@5 0.000 (5.173)
Epoch: [0][1720/9537], lr: 0.01000	Time 0.229 (0.234)	Data 0.000 (0.002)	Loss 4.9515 (5.3721)	Prec@1 0.000 (1.046)	Prec@5 0.000 (5.113)
Epoch: [0][1740/9537], lr: 0.01000	Time 0.234 (0.234)	Data 0.000 (0.002)	Loss 4.7642 (5.3693)	Prec@1 0.000 (1.034)	Prec@5 0.000 (5.055)
Epoch: [0][1760/9537], lr: 0.01000	Time 0.232 (0.234)	Data 0.000 (0.002)	Loss 5.8674 (5.3636)	Prec@1 0.000 (1.022)	Prec@5 0.000 (5.054)
Epoch: [0][1780/9537], lr: 0.01000	Time 0.231 (0.234)	Data 0.000 (0.002)	Loss 5.7034 (5.3592)	Prec@1 0.000 (1.011)	Prec@5 0.000 (5.053)
Epoch: [0][1800/9537], lr: 0.01000	Time 0.232 (0.234)	Data 0.000 (0.002)	Loss 5.9629 (5.3526)	Prec@1 0.000 (0.999)	Prec@5 0.000 (5.053)
Epoch: [0][1820/9537], lr: 0.01000	Time 0.231 (0.234)	Data 0.000 (0.002)	Loss 5.7891 (5.3465)	Prec@1 0.000 (0.988)	Prec@5 0.000 (5.107)
Epoch: [0][1840/9537], lr: 0.01000	Time 0.230 (0.234)	Data 0.000 (0.002)	Loss 6.4438 (5.3424)	Prec@1 0.000 (0.978)	Prec@5 0.000 (5.052)
Epoch: [0][1860/9537], lr: 0.01000	Time 0.231 (0.234)	Data 0.000 (0.002)	Loss 4.7723 (5.3375)	Prec@1 0.000 (0.967)	Prec@5 0.000 (4.997)
Epoch: [0][1880/9537], lr: 0.01000	Time 0.230 (0.234)	Data 0.000 (0.002)	Loss 4.7672 (5.3310)	Prec@1 0.000 (0.957)	Prec@5 0.000 (4.997)
Epoch: [0][1900/9537], lr: 0.01000	Time 0.234 (0.234)	Data 0.000 (0.002)	Loss 5.9805 (5.3266)	Prec@1 0.000 (0.947)	Prec@5 0.000 (5.050)
